id,date,time,extra,stadium,attend,referee,home,away,hscore,ascore,hp,ap,hb,ab
1,August 09 2015,13:30,0,2,59996,27,2,20,0,2,0,0,1,3
2,August 16 2015,13:30,0,5,24732,,5,2,1,2,0,0,1,1
3,August 24 2015,20:00,0,2,60080,28,2,8,0,0,0,0,1,4
4,August 29 2015,12:45,0,11,50388,,11,2,0,1,0,0,7,1
5,September 12 2015,15:00,0,2,59963,,2,14,2,0,0,0,1,1
6,September 19 2015,12:45,0,4,41584,,4,2,2,0,0,0,3,5
7,September 26 2015,15:00,0,7,32047,29,7,2,2,5,0,0,1,1
8,October 04 2015,16:00,,2,60084,,2,10,3,0,,,1,3
9,October 17 2015,17:30,,18,20721,,18,2,0,3,,,2,1
10,October 24 2015,17:30,,2,59985,,2,6,2,1,,,2,2
