id,year_begin,year_end,date_begin,date_end,desc
1,2016,2017,08/13/2016,05/21/2017,eng
2,2015,2016,08/08/2015,05/17/2016,eng
3,2014,2015,08/16/2014,05/24/2015,eng
4,2016,2017,08/19/2016,05/21/2017,spain
5,2015,2016,08/21/2015,05/15/2016,spain
6,2016,2017,08/26/2016,05/20/2017,germany
7,2015,2016,08/14/2015,05/14/2016,germany
8,2016,2017,08/12/2016,05/20/2017,france
9,2015,2016,08/07/2015,05/14/2016,france
11,2010,2011,8/14/2010,5/22/2011,eng
12,2011,2012,8/27/2011,5/13/2012,spain
13,2005,2006,8/27/2005,5/20/2006,spain
